"Domain","variable","mean_value"
"Physical_Characteristics","state_of_the_art_equipment",4.21390374331551
"Physical_Characteristics","visually_appealing_facilities",4.20320855614973
"Physical_Characteristics","clean_hygienic_appearance",4.26737967914439
"Physical_Characteristics","thorough_sterilization_instruments",4.24064171122995
"Physical_Characteristics","convenient_arrival",4.19786096256685
"Staff_Characteristics","well_dressed_staff",4.31550802139037
"Professionalism","healthy_appearance_dentist",4.27807486631016
"Professionalism","services_first_time",4.08021390374332
"Professionalism","security_surgery_staff",4.1283422459893
"Professionalism","subside_pain_during_treatment",4.15508021390374
"Professionalism","look_over_teeth_actively",4.25133689839572
"Interaction","reliable_oral_health_instructions",4.28877005347594
"Interaction","courtesy_of_dentist",4.27272727272727
"Interaction","explain_diagnoses_treatment",4.18181818181818
"Interaction","concern_patient_questions_worries",4.2192513368984
"Reactivity","prompt_patient_service",4.06417112299465
"Reactivity","sympathetic_attitude_patient_problems",4.16577540106952
"Reactivity","effectiveness_handling_complaints",4.21390374331551
"Reactivity","good_services_attitude",4.24064171122995
"Administration","short_duration_hospital_stay",4
"Administration","meet_patient_on_time",3.94652406417112
"Administration","soliciting_patient_opinions",4.19251336898396
"Administration","accurate_patient_record",4.20320855614973
"Administration","ease_making_appointment",4.0427807486631
"Administration","clearly_stated_charge_list",4.11229946524064
"Outcome","pain_relief_after_treatment",4.22994652406417
"Outcome","more_confidence_after_treatment",4.22459893048128
"Outcome","acceptable_fees_dental_service",4.17112299465241
