"variable","mean_value"
"state_of_the_art_equipment",4.21390374331551
"visually_appealing_facilities",4.20320855614973
"clean_hygienic_appearance",4.26737967914439
"thorough_sterilization_instruments",4.24064171122995
"convenient_arrival",4.19786096256685
"well_dressed_staff",4.31550802139037
"healthy_appearance_dentist",4.27807486631016
"services_first_time",4.08021390374332
"security_surgery_staff",4.1283422459893
"subside_pain_during_treatment",4.15508021390374
"look_over_teeth_actively",4.25133689839572
"reliable_oral_health_instructions",4.28877005347594
"courtesy_of_dentist",4.27272727272727
"explain_diagnoses_treatment",4.18181818181818
"concern_patient_questions_worries",4.2192513368984
"prompt_patient_service",4.06417112299465
"sympathetic_attitude_patient_problems",4.16577540106952
"effectiveness_handling_complaints",4.21390374331551
"good_services_attitude",4.24064171122995
"short_duration_hospital_stay",4
"meet_patient_on_time",3.94652406417112
"soliciting_patient_opinions",4.19251336898396
"accurate_patient_record",4.20320855614973
"ease_making_appointment",4.0427807486631
"clearly_stated_charge_list",4.11229946524064
"pain_relief_after_treatment",4.22994652406417
"more_confidence_after_treatment",4.22459893048128
"acceptable_fees_dental_service",4.17112299465241
